late_base_gate_id,support_class,side,group_id,group_size,obs_window,execution_rule,execution_rule_label,train_active_days,test_active_days,n_eff_train,p_star_exact,subgroup_threshold_prob,sigma_train_raw,sigma_train_lcb,sigma_test_raw,rho_train_raw,rho_train_lcb,rho_test_raw,p_exact_train_raw_late,p_exact_train_lcb,p_exact_test_raw_late,rho_needed_at_sigma_lcb,late_minus_control_exact_train,late_minus_control_exact_test,recent182_days,recent182_exact_mean,recent182_exact_lcb,recent182_control_mean,recent182_control_diff,recent91_days,recent91_exact_mean,recent91_exact_lcb,recent91_control_mean,recent91_control_diff,daily_window,control_base_gate_id,p_exact_train_raw_control,p_exact_test_raw_control
late|big|center|same_top1_prev=all,late,big,center,1,192,front_singleton_always,front singleton always,1766,467,3,0.089576406726893,0.089576406726893,0.09701774254435636,0.08889675349188372,0.12491077801570306,1.0,1.0,1.0,0.09701774254435636,0.08890147225368063,0.12491077801570306,1.007645422451466,0.003208758021895075,0.023554603854389733,182,0.12454212454212453,0.09706959706959706,0.09706959706959706,0.027472527472527472,91,0.12087912087912088,0.07692307692307693,0.09157509157509157,0.02930402930402931,False,control|big|center|same_top1_prev=all,0.09380898452246128,0.10135617416131333
late|big|center|same_top1_prev=all,late,big,center,1,192,front_singleton_exact_q75_only,front singleton exact q75 only,1030,279,2,0.08841951026361577,0.08841951026361577,0.10711974110032361,0.09093851132686083,0.1099163679808841,1.0,1.0,1.0,0.10711974110032361,0.09077265372168283,0.1099163679808841,0.9722999527208995,0.00738688268536368,0.00052346992819223,182,0.11996336996336994,0.07967032967032966,0.1282051282051282,-0.008241758241758254,91,0.10622710622710624,0.05311355311355311,0.08608058608058608,0.020146520146520158,True,control|big|center|same_top1_prev=all,0.09973285841495994,0.10939289805269187
late|big|center|same_top1_prev=all,late,big,center,1,192,front_singleton_side_q75_only,front singleton side q75 only,968,259,2,0.08841951026361577,0.08841951026361577,0.0931473829201102,0.07679063360881543,0.12934362934362933,1.0,1.0,1.0,0.0931473829201102,0.07679063360881544,0.12934362934362933,1.151436133657131,-0.003477895653592439,0.036189869523202856,182,0.13736263736263737,0.09523809523809523,0.10622710622710624,0.031135531135531136,91,0.1043956043956044,0.05677655677655677,0.09706959706959706,0.007326007326007342,False,control|big|center|same_top1_prev=all,0.09662527857370264,0.09315375982042648
late|big|center|same_top1_prev=all,late,big,center,1,384,front_singleton_always,front singleton always,1766,467,3,0.089576406726893,0.089576406726893,0.09701774254435636,0.08871272178180445,0.12491077801570306,1.0,1.0,1.0,0.09701774254435636,0.08927897319743298,0.12491077801570306,1.009735750721445,0.0027368818422045943,0.02319771591720199,182,0.12454212454212453,0.09706959706959706,0.09065934065934066,0.03388278388278387,91,0.12087912087912088,0.08058608058608058,0.08241758241758242,0.038461538461538464,False,control|big|center|same_top1_prev=all,0.09428086070215176,0.10171306209850108
late|big|center|same_top1_prev=all,late,big,center,1,384,front_singleton_exact_q75_only,front singleton exact q75 only,1066,287,2,0.08841951026361577,0.08841951026361577,0.10193871169480925,0.08614759224515323,0.09930313588850173,1.0,1.0,1.0,0.10193871169480925,0.08629612257661039,0.09930313588850173,1.0263723913722078,-0.004618665354371068,0.003747580332946171,182,0.11080586080586079,0.07140567765567765,0.09615384615384616,0.014652014652014628,91,0.12637362637362637,0.06593406593406594,0.07142857142857142,0.054945054945054944,False,control|big|center|same_top1_prev=all,0.10655737704918032,0.09555555555555556
late|big|center|same_top1_prev=all,late,big,center,1,384,front_singleton_side_q75_only,front singleton side q75 only,974,268,2,0.08841951026361577,0.08841951026361577,0.09822039698836413,0.08179329226557151,0.13121890547263684,1.0,1.0,1.0,0.09822039698836413,0.08213552361396304,0.13121890547263684,1.0810117530974281,-0.003156323912762285,-0.008204171450440084,182,0.12728937728937728,0.08697344322344322,0.12637362637362637,0.0009157509157509125,91,0.11721611721611722,0.0641025641025641,0.13186813186813187,-0.014652014652014655,False,control|big|center|same_top1_prev=all,0.10137672090112641,0.13942307692307693
late|big|center|same_top1_prev=all,late,big,center,1,576,front_singleton_always,front singleton always,1766,467,3,0.089576406726893,0.089576406726893,0.09701774254435636,0.08890147225368063,0.12491077801570306,1.0,1.0,1.0,0.09701774254435636,0.0890902227255568,0.12491077801570306,1.007591938087217,0.001321253303133249,0.024268379728765166,182,0.12454212454212453,0.09706959706959706,0.07692307692307693,0.0476190476190476,91,0.12087912087912088,0.08058608058608058,0.07692307692307693,0.04395604395604395,False,control|big|center|same_top1_prev=all,0.0956964892412231,0.1006423982869379
late|big|center|same_top1_prev=all,late,big,center,1,576,front_singleton_exact_q75_only,front singleton exact q75 only,1035,289,2,0.08841951026361577,0.08841951026361577,0.10531400966183575,0.08888888888888889,0.1170703575547866,1.0,1.0,1.0,0.10531400966183575,0.08952898550724636,0.1170703575547866,0.9947194904656774,0.012038521592421442,0.044998285482714534,182,0.12271062271062272,0.0815018315018315,0.07207207207207207,0.05063855063855065,91,0.0989010989010989,0.04945054945054945,0.06593406593406594,0.03296703296703296,True,control|big|center|same_top1_prev=all,0.09327548806941431,0.07207207207207207
late|big|center|same_top1_prev=all,late,big,center,1,576,front_singleton_side_q75_only,front singleton side q75 only,998,273,2,0.08841951026361577,0.08841951026361577,0.10270541082164329,0.085500167000668,0.12515262515262515,1.0,1.0,1.0,0.10270541082164329,0.08600534402137608,0.12515262515262515,1.0341442989570415,-0.002098082628138362,0.0034134947178425384,182,0.13736263736263737,0.0943223443223443,0.12173913043478261,0.01562350692785476,91,0.1336996336996337,0.07509157509157509,0.0989010989010989,0.0347985347985348,False,control|big|center|same_top1_prev=all,0.10480349344978165,0.12173913043478261
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,192,front_pair_major_any_info,front pair major any info,1766,467,3,0.089576406726893,0.18565540131876168,0.2129105322763307,0.2013967534918837,0.2012847965738758,0.5087523277467412,0.4782029795158287,0.5014492753623189,0.10985277463193656,0.10098150245375612,0.10206995003568879,0.44477582271703764,0.004530011325028296,-0.0042826552462526535,182,0.10256410256410255,0.07875457875457875,0.08608058608058607,0.01648351648351648,91,0.10622710622710622,0.0695970695970696,0.0879120879120879,0.01831501831501832,True,control|big|edge_low|same_top1_prev=all,0.10532276330690826,0.10635260528194145
