ticket_family,group_size,n_bets_per_day,threshold_prob,fair_prob,fair_real_ev
exact_single,1,1,0.08717948717948718,0.1,0.1250000000000001
subgroup,1,1,0.08717948717948718,0.1,0.1250000000000001
subgroup,2,1,0.17708333333333334,0.2,0.21999999999999997
subgroup,3,1,0.2698412698412698,0.3,0.28500000000000014
subgroup,4,1,0.3655913978494624,0.4,0.3200000000000003
subgroup,5,1,0.46448087431693985,0.5,0.3250000000000002
exact_single,1,2,0.08841951026361577,0.1,0.2230000000000002
subgroup,1,2,0.08841951026361577,0.1,0.2230000000000002
subgroup,2,2,0.1817303467017525,0.2,0.3440000000000005
subgroup,3,2,0.27942929673951633,0.3,0.38100000000000045
subgroup,4,2,0.3808038021342592,0.4,0.35200000000000076
subgroup,5,2,0.48454365130540966,0.5,0.2825000000000002
exact_single,1,3,0.089576406726893,0.1,0.29805000000000054
subgroup,1,3,0.089576406726893,0.1,0.29805000000000054
subgroup,2,3,0.18565540131876168,0.2,0.4008000000000006
subgroup,3,3,0.2865213200595637,0.3,0.373050000000001
subgroup,4,3,0.3853336150430277,0.4,0.4048800000000017
subgroup,5,3,0.4847426222222501,0.5,0.4181250000000005
exact_single,1,4,0.09064959110841912,0.1,0.35366000000000053
subgroup,1,4,0.09064959110841912,0.1,0.35366000000000053
subgroup,2,4,0.188905065469302,0.2,0.41152000000000083
subgroup,3,4,0.2880442929467658,0.3,0.44183400000000095
subgroup,4,4,0.3872633237831378,0.4,0.46726400000000223
subgroup,5,4,0.4896687001307994,0.5,0.37750000000000083
exact_single,1,5,0.09163995905190689,0.1,0.39286750000000015
subgroup,1,5,0.09163995905190689,0.1,0.39286750000000015
subgroup,2,5,0.19142267820883418,0.2,0.39766400000000157
subgroup,3,5,0.2890692950847009,0.3,0.5036722500000003
subgroup,4,5,0.39048527585086495,0.4,0.43633600000000267
subgroup,5,5,0.48981956919185354,0.5,0.46484375000000044
exact_single,1,6,0.09254965445068183,0.1,0.41829690000000075
subgroup,1,6,0.09254965445068183,0.1,0.41829690000000075
subgroup,2,6,0.19144805585016397,0.2,0.47572224000000063
subgroup,3,6,0.2908472887193328,0.3,0.5052213900000012
subgroup,4,6,0.390573612459573,0.4,0.5186265600000025
subgroup,5,6,0.4922326125883122,0.5,0.425625000000001
