policy_id,core_window,core_family,exp_window,exp_family,oe_window,oe_family,cooldown_days,avg_daily_real_unit,bootstrap_ci_low_daily_unit,bootstrap_ci_high_daily_unit,recent13_ci_low_daily_unit,recent26_ci_low_daily_unit,recent52_ci_low_daily_unit,avg_daily_bets,active_day_share,final_bankroll,max_drawdown_scaled,days_core,days_core_plus_oe,days_core_plus_expansion,days_core_plus_expansion_plus_oe,days_cash
core40_spread_only__exp0_off__oe40_spread_only__cd2,40,spread_only,0,off,40,spread_only,2,0.7381331168831176,0.20431657196969766,1.2772397997835505,0.7094250000000014,0.1814507211538474,1.0731165865384626,29.74025974025974,0.30952380952380953,18050.87500000001,-3118.2750000000005,14,129,0,0,319
core40_spread_only__exp0_off__oe20_spread_only__cd2,40,spread_only,0,off,20,spread_only,2,0.6720546536796542,0.15663238636363713,1.1909653273809528,0.7094250000000014,0.1814507211538474,1.1622432692307705,28.78787878787879,0.3051948051948052,16524.46250000001,-2856.874999999999,20,121,0,0,321
core40_spread_only__exp0_off__oe40_spread_ci__cd1,40,spread_only,0,off,40,spread_ci,1,1.1073344155844163,0.6344456980519488,1.6061768127705638,0.5936538461538472,-0.5719745192307679,0.6017177884615398,27.4025974025974,0.4090909090909091,26579.425000000007,-1727.6250000000036,156,33,0,0,273
core40_spread_only__exp0_off__oe0_off__cd1,40,spread_only,0,off,0,off,1,0.9758538961038967,0.5410133116883122,1.4331305600649358,0.5936538461538472,-0.5719745192307679,0.6017177884615398,24.285714285714285,0.40476190476190477,23542.225,-1727.6250000000036,187,0,0,0,275
core40_spread_only__exp40_spread_ci__oe40_spread_ci__cd1,40,spread_only,40,spread_ci,40,spread_ci,1,1.3999448051948062,0.7333444534632042,2.0959515286796546,0.5936538461538472,-0.6708749999999988,0.6551578125000013,35.922077922077925,0.4134199134199134,33338.72499999999,-1885.7250000000022,122,16,36,17,271
core40_spread_only__exp40_spread_ci__oe0_off__cd1,40,spread_only,40,spread_ci,0,off,1,1.2323977272727282,0.5962326298701306,1.89177252435065,0.5936538461538472,-0.6708749999999988,0.6551578125000013,32.51948051948052,0.4069264069264069,29468.387499999997,-2143.3500000000004,136,0,52,0,274
core40_spread_ci__exp0_off__oe0_off__cd2,40,spread_ci,0,off,0,off,2,0.11963149350649363,-0.11644667207792195,0.37362195616883137,0.0,-1.016278846153846,-0.7087067307692304,5.324675324675325,0.08874458874458875,3763.4875000000025,-3048.7874999999995,41,0,0,0,421
core40_spread_ci__exp0_off__oe40_spread_ci__cd2,40,spread_ci,0,off,40,spread_ci,2,0.09455735930735946,-0.1950952651515149,0.3938610119047621,0.0,-1.016278846153846,-0.7087067307692304,6.536796536796537,0.08874458874458875,3184.2750000000037,-3048.7874999999995,27,14,0,0,421
core40_spread_ci__exp0_off__oe20_spread_only__cd2,40,spread_ci,0,off,20,spread_only,2,0.14140313852813877,-0.18038860930735895,0.4734069264069268,0.0,-1.1924692307692297,-0.43962247596153803,9.393939393939394,0.09740259740259741,4266.412500000006,-2614.6374999999985,4,41,0,0,417
core40_spread_ci__exp0_off__oe40_spread_only__cd2,40,spread_ci,0,off,40,spread_only,2,0.1464323593073596,-0.18501593614718595,0.47750132575757614,0.0,-1.1924692307692297,-0.43962247596153803,9.653679653679653,0.09740259740259741,4382.587500000005,-2792.712499999999,1,44,0,0,417
core40_spread_ci__exp40_spread_ci__oe40_spread_ci__cd2,40,spread_ci,40,spread_ci,40,spread_ci,2,0.3235909090909094,-0.17305752164502128,0.8351191829004333,0.0,-1.199480769230769,-0.7721311298076916,12.337662337662337,0.09307359307359307,8474.950000000008,-5879.737499999997,8,0,20,15,419
core40_spread_ci__exp40_spread_ci__oe0_off__cd2,40,spread_ci,40,spread_ci,0,off,2,0.2772564935064937,-0.17912926136363613,0.7464052759740267,0.0,-1.199480769230769,-0.7721311298076916,10.467532467532468,0.08874458874458875,7404.625000000003,-5879.737499999997,8,0,33,0,421
core40_spread_ci__exp40_spread_ci__oe40_spread_only__cd2,40,spread_ci,40,spread_ci,40,spread_only,2,0.4510914502164507,-0.09414699675324623,1.0196655438311693,0.0,-1.3941634615384613,-0.5026249999999994,16.225108225108226,0.1038961038961039,11420.212500000009,-5197.362499999999,0,10,1,37,414
core40_spread_ci__exp40_spread_ci__oe20_spread_only__cd2,40,spread_ci,40,spread_ci,20,spread_only,2,0.4460622294372299,-0.09739199134199103,1.007358536255412,0.0,-1.3941634615384613,-0.5026249999999994,15.965367965367966,0.1038961038961039,11304.03750000001,-5019.2874999999985,1,9,3,35,414
core40_spread_ci__exp0_off__oe40_spread_ci__cd1,40,spread_ci,0,off,40,spread_ci,1,0.15575865800865824,-0.12812079274891747,0.46299016504329027,0.0,-1.7533269230769224,-1.0608245192307688,8.095238095238095,0.11038961038961038,4598.025000000003,-3715.9874999999993,34,17,0,0,411
