month,active_days,executed_days,executed_bets,total_real_pnl_points,end_bankroll,min_drawdown
2025-01,26,26,98,4185.0,9185.0,-2220.0
2025-02,25,25,90,-80.0,9105.0,-2270.0
2025-03,26,26,65,2695.0,11800.0,-2880.0
2025-04,26,26,50,-3080.0,8720.0,-3145.0
2025-05,29,29,29,2275.0,10995.0,-4100.0
2025-06,26,26,44,-1385.0,9610.0,-2230.0
2025-07,25,25,52,4925.0,14535.0,-2570.0
2025-08,27,27,79,2540.0,17075.0,-1955.0
2025-09,27,27,68,-460.0,16615.0,-2550.0
2025-10,26,26,77,135.0,16750.0,-3595.0
2025-11,26,26,64,2720.0,19470.0,-2785.0
2025-12,26,26,78,4920.0,24390.0,-1530.0
