date,bankroll_start,bankroll_end,bets,hits,misses,ledger,real,bonus,drawdown,hit_rate
2025-01-01,1000.0,1180.0,15,3,12,180.0,180.0,0.0,0.0,0.2
2025-01-02,1180.0,1146.0,15,1,14,-40.0,-34.0,6.0,-34.0,0.066667
2025-01-03,1146.0,1216.0,15,2,13,70.0,70.0,0.0,0.0,0.133333
2025-01-04,1216.0,1182.0,15,1,14,-40.0,-34.0,6.0,-34.0,0.066667
2025-01-05,1182.0,1054.5,15,0,15,-150.0,-127.5,22.5,-161.5,0.0
2025-01-06,1054.5,927.0,15,0,15,-150.0,-127.5,22.5,-289.0,0.0
2025-01-07,927.0,893.0,15,1,14,-40.0,-34.0,6.0,-323.0,0.066667
2025-01-08,893.0,765.5,15,0,15,-150.0,-127.5,22.5,-450.5,0.0
2025-01-09,765.5,638.0,15,0,15,-150.0,-127.5,22.5,-578.0,0.0
2025-01-10,638.0,604.0,15,1,14,-40.0,-34.0,6.0,-612.0,0.066667
2025-01-11,604.0,570.0,15,1,14,-40.0,-34.0,6.0,-646.0,0.066667
2025-01-12,570.0,536.0,15,1,14,-40.0,-34.0,6.0,-680.0,0.066667
2025-01-13,536.0,408.5,15,0,15,-150.0,-127.5,22.5,-807.5,0.0
2025-01-14,408.5,374.5,15,1,14,-40.0,-34.0,6.0,-841.5,0.066667
2025-01-15,374.5,340.5,15,1,14,-40.0,-34.0,6.0,-875.5,0.066667
2025-01-16,340.5,306.5,15,1,14,-40.0,-34.0,6.0,-909.5,0.066667
2025-01-17,306.5,376.5,15,2,13,70.0,70.0,0.0,-839.5,0.133333
2025-01-18,376.5,342.5,15,1,14,-40.0,-34.0,6.0,-873.5,0.066667
2025-01-19,342.5,412.5,15,2,13,70.0,70.0,0.0,-803.5,0.133333
2025-01-20,412.5,482.5,15,2,13,70.0,70.0,0.0,-733.5,0.133333
2025-01-21,482.5,448.5,15,1,14,-40.0,-34.0,6.0,-767.5,0.066667
2025-01-22,448.5,414.5,15,1,14,-40.0,-34.0,6.0,-801.5,0.066667
2025-01-23,414.5,380.5,15,1,14,-40.0,-34.0,6.0,-835.5,0.066667
2025-01-24,380.5,253.0,15,0,15,-150.0,-127.5,22.5,-963.0,0.0
2025-01-25,253.0,323.0,15,2,13,70.0,70.0,0.0,-893.0,0.133333
