date,window_active,gate_reason,prior13_real,prior26_real,bankroll_start,bankroll_end,requested_bets,affordable_bets,bets,hits,misses,ledger,real,bonus,drawdown,hit_rate,base_bets,base_hits,base_real
2025-01-01,False,"prior13_real=545.00, prior26_real=-146.00",545.0,-146.0,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,3,180.0
2025-01-02,True,"prior13_real=759.00, prior26_real=161.50",759.0,161.5,1000.0,966.0,15,100,15,1,14,-40.0,-34.0,6.0,-34.0,0.066667,15,1,-34.0
2025-01-03,True,"prior13_real=545.00, prior26_real=161.50",545.0,161.5,966.0,1036.0,15,96,15,2,13,70.0,70.0,0.0,0.0,0.133333,15,2,70.0
2025-01-04,True,"prior13_real=649.00, prior26_real=359.00",649.0,359.0,1036.0,1002.0,15,103,15,1,14,-40.0,-34.0,6.0,-34.0,0.066667,15,1,-34.0
2025-01-05,True,"prior13_real=545.00, prior26_real=255.00",545.0,255.0,1002.0,874.5,15,100,15,0,15,-150.0,-127.5,22.5,-161.5,0.0,15,0,-127.5
2025-01-06,True,"prior13_real=451.50, prior26_real=57.50",451.5,57.5,874.5,747.0,15,87,15,0,15,-150.0,-127.5,22.5,-289.0,0.0,15,0,-127.5
2025-01-07,False,"prior13_real=254.00, prior26_real=-36.00",254.0,-36.0,747.0,747.0,0,74,0,0,0,0.0,0.0,0.0,-289.0,0.0,15,1,-34.0
2025-01-08,True,"prior13_real=347.50, prior26_real=57.50",347.5,57.5,747.0,619.5,15,74,15,0,15,-150.0,-127.5,22.5,-416.5,0.0,15,0,-127.5
2025-01-09,True,"prior13_real=254.00, prior26_real=57.50",254.0,57.5,619.5,492.0,15,61,15,0,15,-150.0,-127.5,22.5,-544.0,0.0,15,0,-127.5
2025-01-10,False,"prior13_real=-163.50, prior26_real=57.50",-163.5,57.5,492.0,492.0,0,49,0,0,0,0.0,0.0,0.0,-544.0,0.0,15,1,-34.0
2025-01-11,False,"prior13_real=-163.50, prior26_real=151.00",-163.5,151.0,492.0,492.0,0,49,0,0,0,0.0,0.0,0.0,-544.0,0.0,15,1,-34.0
2025-01-12,False,"prior13_real=-70.00, prior26_real=151.00",-70.0,151.0,492.0,492.0,0,49,0,0,0,0.0,0.0,0.0,-544.0,0.0,15,1,-34.0
2025-01-13,False,"prior13_real=-394.00, prior26_real=47.00",-394.0,47.0,492.0,492.0,0,49,0,0,0,0.0,0.0,0.0,-544.0,0.0,15,0,-127.5
2025-01-14,False,"prior13_real=-591.50, prior26_real=-46.50",-591.5,-46.5,492.0,492.0,0,49,0,0,0,0.0,0.0,0.0,-544.0,0.0,15,1,-34.0
2025-01-15,False,"prior13_real=-805.50, prior26_real=-46.50",-805.5,-46.5,492.0,492.0,0,49,0,0,0,0.0,0.0,0.0,-544.0,0.0,15,1,-34.0
2025-01-16,False,"prior13_real=-805.50, prior26_real=-260.50",-805.5,-260.5,492.0,492.0,0,49,0,0,0,0.0,0.0,0.0,-544.0,0.0,15,1,-34.0
