date,bankroll_start,bankroll_end,bets,hits,misses,ledger,real,bonus,drawdown,hit_rate,status
2026-01-01,1000.0,1070.0,15,2,13,70.0,70.0,0.0,0.0,0.133333,settled
2026-01-02,1070.0,1250.0,15,3,12,180.0,180.0,0.0,0.0,0.2,settled
2026-01-03,1250.0,1216.0,15,1,14,-40.0,-34.0,6.0,-34.0,0.066667,settled
2026-01-04,1216.0,1182.0,15,1,14,-40.0,-34.0,6.0,-68.0,0.066667,settled
2026-01-05,1182.0,1054.5,15,0,15,-150.0,-127.5,22.5,-195.5,0.0,settled
2026-01-06,1054.5,927.0,15,0,15,-150.0,-127.5,22.5,-323.0,0.0,settled
2026-01-07,927.0,1107.0,15,3,12,180.0,180.0,0.0,-143.0,0.2,settled
2026-01-08,1107.0,1073.0,15,1,14,-40.0,-34.0,6.0,-177.0,0.066667,settled
2026-01-09,1073.0,1039.0,15,1,14,-40.0,-34.0,6.0,-211.0,0.066667,settled
2026-01-10,1039.0,1109.0,15,2,13,70.0,70.0,0.0,-141.0,0.133333,settled
2026-01-11,1109.0,1075.0,15,1,14,-40.0,-34.0,6.0,-175.0,0.066667,settled
2026-01-12,1075.0,1145.0,15,2,13,70.0,70.0,0.0,-105.0,0.133333,settled
2026-01-13,1145.0,1215.0,15,2,13,70.0,70.0,0.0,-35.0,0.133333,settled
2026-01-14,1215.0,1395.0,15,3,12,180.0,180.0,0.0,0.0,0.2,settled
2026-01-15,1395.0,1465.0,15,2,13,70.0,70.0,0.0,0.0,0.133333,settled
2026-01-16,1465.0,1645.0,15,3,12,180.0,180.0,0.0,0.0,0.2,settled
2026-01-17,1645.0,1611.0,15,1,14,-40.0,-34.0,6.0,-34.0,0.066667,settled
2026-01-18,1611.0,1483.5,15,0,15,-150.0,-127.5,22.5,-161.5,0.0,settled
2026-01-19,1483.5,1553.5,15,2,13,70.0,70.0,0.0,-91.5,0.133333,settled
2026-01-20,1553.5,1426.0,15,0,15,-150.0,-127.5,22.5,-219.0,0.0,settled
2026-01-21,1426.0,1392.0,15,1,14,-40.0,-34.0,6.0,-253.0,0.066667,settled
2026-01-22,1392.0,1462.0,15,2,13,70.0,70.0,0.0,-183.0,0.133333,settled
2026-01-23,1462.0,1334.5,15,0,15,-150.0,-127.5,22.5,-310.5,0.0,settled
2026-01-24,1334.5,1300.5,15,1,14,-40.0,-34.0,6.0,-344.5,0.066667,settled
2026-01-25,1300.5,1370.5,15,2,13,70.0,70.0,0.0,-274.5,0.133333,settled
2026-01-26,1370.5,1336.5,15,1,14,-40.0,-34.0,6.0,-308.5,0.066667,settled
2026-01-27,1336.5,1302.5,15,1,14,-40.0,-34.0,6.0,-342.5,0.066667,settled
2026-01-28,1302.5,1268.5,15,1,14,-40.0,-34.0,6.0,-376.5,0.066667,settled
2026-01-29,1268.5,1338.5,15,2,13,70.0,70.0,0.0,-306.5,0.133333,settled
2026-01-30,1338.5,1211.0,15,0,15,-150.0,-127.5,22.5,-434.0,0.0,settled
2026-01-31,1211.0,1083.5,15,0,15,-150.0,-127.5,22.5,-561.5,0.0,settled
2026-02-01,1083.5,1153.5,15,2,13,70.0,70.0,0.0,-491.5,0.133333,settled
2026-02-02,1153.5,1026.0,15,0,15,-150.0,-127.5,22.5,-619.0,0.0,settled
2026-02-03,1026.0,1206.0,15,3,12,180.0,180.0,0.0,-439.0,0.2,settled
2026-02-04,1206.0,1276.0,15,2,13,70.0,70.0,0.0,-369.0,0.133333,settled
2026-02-05,1276.0,1148.5,15,0,15,-150.0,-127.5,22.5,-496.5,0.0,settled
2026-02-06,1148.5,1218.5,15,2,13,70.0,70.0,0.0,-426.5,0.133333,settled
2026-02-07,1218.5,1288.5,15,2,13,70.0,70.0,0.0,-356.5,0.133333,settled
2026-02-08,1288.5,1161.0,15,0,15,-150.0,-127.5,22.5,-484.0,0.0,settled
